id,nombre_de_la_ocupaci_n,nivel,n_mero_de_inscritos_2019,n_mero_de_inscritos_2020,participacion_2019,participacion_2020,variacion_2020_vs_2019,contribuci_n_a_la_variaci,vacantes_estimadas
1,Miembros del Poder Ejecutivo y Legislativo,Directivo,7,3,0.02,0.02,-5.71,-0.01,0
2,Personal Directivo de la Administración Pública,Directivo,156,72,0.46,0.36,-5.38,-0.25,7
3,"Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas",Directivo,12,6,0.04,0.03,-5,-0.02,0
4,"Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía",Directivo,31,20,0.09,0.1,-3.55,-0.03,2
5,"Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios",Directivo,36,15,0.11,0.08,-5.83,-0.06,1
6,"Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción",Directivo,16,11,0.05,0.06,-3.13,-0.01,1
7,Directores y gerentes generales de servicios y procesos de negocio.,Directivo,23,13,0.07,0.07,-4.35,-0.03,1
8,Gerentes Financieros,Directivo,53,33,0.16,0.17,-3.77,-0.06,3
9,Gerentes de Talento Humano,Directivo,42,28,0.12,0.14,-3.33,-0.04,2
10,Gerentes de Compras y Adquisiciones,Directivo,63,35,0.19,0.18,-4.44,-0.08,3
11,Gerentes de Otros Servicios Administrativos,Directivo,240,169,0.71,0.85,-2.96,-0.21,16
12,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",Directivo,19,5,0.06,0.03,-7.37,-0.04,0
13,"Gerentes de Banca, Crédito e Inversiones",Directivo,28,17,0.08,0.09,-3.93,-0.03,1
14,Gerentes de Otros Servicios a las Empresas,Directivo,22,16,0.06,0.08,-2.73,-0.02,1
15,Gerentes de Empresas de Telecomunicaciones,Directivo,9,1,0.03,0.01,-8.89,-0.02,0
16,Gerentes de Servicios de Correo y Mensajería,Directivo,6,0,0.02,,-10,-0.02,0
17,Gerentes de Ingeniería,Directivo,81,41,0.24,0.21,-4.94,-0.12,4
18,Gerentes de Investigación y Desarrollo en Ciencias Naturales y Aplicadas,Directivo,6,6,0.02,0.03,0,0,0
19,Gerentes de Sistemas de Información y Procesamiento de Datos,Directivo,92,19,0.27,0.1,-7.93,-0.22,1
20,Gerentes de Servicios a la Salud,Directivo,71,65,0.21,0.33,-0.85,-0.02,6
21,Gerentes de Programas de Política Social y de Salud,Directivo,0,0,,,,,0
22,Gerentes de Programas de Política de Desarrollo Económico,Directivo,16,12,0.05,0.06,-2.5,-0.01,1
23,Gerentes de Programas de Política Educativa,Directivo,2,1,0.01,0.01,-5,0,0
24,Otros Gerentes de Administración Pública,Directivo,6,1,0.02,0.01,-8.33,-0.01,0
25,Administradores de Educación Superior y Formación para el Trabajo,Directivo,63,19,0.19,0.1,-6.98,-0.13,1
26,Directores y Administradores de Educación Básica y Media,Directivo,50,29,0.15,0.15,-4.2,-0.06,2
27,"Gerentes de Servicios Social, Comunitario y Correccional",Directivo,4,2,0.01,0.01,-5,-0.01,0
28,"Gerentes de Biblioteca, Museo y Galería de Arte",Directivo,26,3,0.08,0.02,-8.85,-0.07,0
29,Gerentes de Medios de Comunicación y Artes Escénicas,Directivo,81,83,0.24,0.42,0.25,0.01,8
30,Directores de Programas de Esparcimiento y Administradores de Deportes,Directivo,318,49,0.94,0.25,-8.46,-0.79,4
31,"Gerentes de Ventas, Mercadeo y Publicidad",Directivo,316,306,0.93,1.53,-0.32,-0.03,30
32,Gerentes de Comercio Exterior,Directivo,16,21,0.05,0.11,3.13,0.01,2
33,Gerentes de Comercio al Por Menor,Directivo,28,19,0.08,0.1,-3.21,-0.03,1
34,Gerentes de Restaurantes y Servicios de Alimentos,Directivo,13,8,0.04,0.04,-3.85,-0.01,0
35,Gerentes de Servicios Hoteleros,Directivo,119,76,0.35,0.38,-3.61,-0.13,7
36,Oficiales de las Fuerzas Militares,Directivo,205,50,0.6,0.25,-7.56,-0.46,5
37,Oficiales de Policía,Directivo,24,16,0.07,0.08,-3.33,-0.02,1
38,Oficiales de Bomberos,Directivo,40,5,0.12,0.03,-8.75,-0.1,0
39,Oficiales del Cuerpo de Custodia y Vigilancia,Directivo,10,5,0.03,0.03,-5,-0.01,0
40,Gerentes de Otros Servicios,Directivo,181,91,0.53,0.46,-4.97,-0.27,9
41,Gerentes de Producción Primaria (excepto agricultura),Directivo,4,19,0.01,0.1,37.5,0.04,1
42,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",Directivo,199,137,0.59,0.69,-3.12,-0.18,13
43,Gerentes de Construcción,Directivo,47,56,0.14,0.28,1.91,0.03,5
44,Gerentes de Transporte y Distribución,Directivo,14,15,0.04,0.08,0.71,0,1
45,Gerentes de Logística,Directivo,379,214,1.12,1.07,-4.35,-0.49,21
46,Gerentes Cadena de Suministro,Directivo,17,19,0.05,0.1,1.18,0.01,1
47,Gerentes de Operación de Instalaciones Físicas,Directivo,62,48,0.18,0.24,-2.26,-0.04,4
48,Gerentes de Mantenimiento,Directivo,40,25,0.12,0.13,-3.75,-0.04,2
49,Gerentes de Producción Industrial,Directivo,44,46,0.13,0.23,0.45,0.01,4
50,Gerentes de Empresas de Servicios Públicos,Directivo,53,47,0.16,0.24,-1.13,-0.02,4
51,Contadores,Profesional,559,508,0.19,0.23,-0.91,-0.02,50
52,"Analistas, Asesores y Agentes de Mercado Financiero",Profesional,755,186,0.26,0.08,-7.54,-0.19,18
53,Auditores Financieros y Contables,Profesional,164,131,0.06,0.06,-2.01,-0.01,13
54,Profesionales de Talento Humano,Profesional,1272,836,0.44,0.37,-3.43,-0.15,83
55,Profesionales en Organización y Administración de las Empresas,Profesional,1448,1172,0.5,0.52,-1.91,-0.09,117
56,Evaluadores de Competencias Laborales,Profesional,6,3,0,0,-5,0,0
57,Archivistas,Profesional,127,100,0.04,0.04,-2.13,-0.01,10
58,Físicos y Astrónomos,Profesional,26,16,0.01,0.01,-3.85,0,1
59,Químicos,Profesional,69,50,0.02,0.02,-2.75,-0.01,5
60,"Geólogos, Geoquímicos y Geofísicos",Profesional,68,65,0.02,0.03,-0.44,0,6
61,Meteorólogos,Profesional,3,0,0,,-10,0,0
62,"Biólogos, Botánicos, Zoólogos y Relacionados",Profesional,269,204,0.09,0.09,-2.42,-0.02,20
63,Expertos Forestales,Profesional,32,31,0.01,0.01,-0.31,0,3
64,Expertos Agrícolas y Pecuarios,Profesional,990,655,0.34,0.29,-3.38,-0.11,65
65,Administradores Ambientales,Profesional,1764,956,0.6,0.43,-4.58,-0.28,95
66,Ingenieros en Construcción y Obras Civiles,Profesional,771,590,0.26,0.26,-2.35,-0.06,59
67,Ingenieros Mecánicos,Profesional,309,211,0.11,0.09,-3.17,-0.03,21
68,Ingenieros Electricistas,Profesional,177,186,0.06,0.08,0.51,0,18
69,Ingenieros  Electrónicos,Profesional,161,181,0.06,0.08,1.24,0.01,18
70,Ingenieros Químicos,Profesional,114,108,0.04,0.05,-0.53,0,10
71,Ingenieros de Automatización e Instrumentación,Profesional,156,194,0.05,0.09,2.44,0.01,19
72,Ingenieros  de Telecomunicaciones,Profesional,93,75,0.03,0.03,-1.94,-0.01,7
73,Ingenieros Navales,Profesional,8,1,0,0,-8.75,0,0
74,Ingenieros Industriales y de Fabricación,Profesional,926,527,0.32,0.24,-4.31,-0.14,52
75,Ingenieros de Materiales y Metalurgia,Profesional,23,19,0.01,0.01,-1.74,0,1
76,Ingenieros de Minas,Profesional,36,20,0.01,0.01,-4.44,-0.01,2
77,Ingenieros de Petróleos,Profesional,65,166,0.02,0.07,15.54,0.03,16
78,Ingenieros de Tecnologías de la Información,Profesional,538,477,0.18,0.21,-1.13,-0.02,47
79,Otros Ingenieros n.c.a.,Profesional,653,435,0.22,0.19,-3.34,-0.07,43
80,Ingenieros y Productores de Audio y Sonido,Profesional,,43,,0.02,10,,4
81,Arquitectos,Profesional,420,248,0.14,0.11,-4.1,-0.06,24
82,Urbanistas y Planificadores del Uso del Suelo,Profesional,10,10,0,0,0,0,1
83,Ingenieros Topográficos,Profesional,22,20,0.01,0.01,-0.91,0,2
84,Diseñadores Industriales,Profesional,119,55,0.04,0.02,-5.38,-0.02,5
85,"Matemáticos, Estadísticos y Actuarios",Profesional,146,62,0.05,0.03,-5.75,-0.03,6
86,Analistas de Sistemas Informáticos,Profesional,2036,1652,0.7,0.74,-1.89,-0.13,165
87,Administradores de Servicios de Tecnologías de la Información,Profesional,1471,1322,0.5,0.59,-1.01,-0.05,132
88,Desarrolladores de Aplicaciones Informáticas y Digitales,Profesional,1432,892,0.49,0.4,-3.77,-0.18,89
89,Médicos Especialistas,Profesional,96,120,0.03,0.05,2.5,0.01,12
90,Médicos Generales,Profesional,516,631,0.18,0.28,2.23,0.04,63
91,Odontólogos,Profesional,160,201,0.05,0.09,2.56,0.01,20
92,Veterinarios,Profesional,150,78,0.05,0.03,-4.8,-0.02,7
93,Optómetras,Profesional,12,5,0,0,-5.83,0,0
94,Otras Ocupaciones Profesionales en Diagnóstico y Tratamiento de la Salud n.c.a.,Profesional,0,0,,,,,0
95,Farmacéuticos y Químicos Farmacéuticos,Profesional,148,70,0.05,0.03,-5.27,-0.03,7
96,Dietistas y Nutricionistas,Profesional,81,79,0.03,0.04,-0.25,0,7
97,Audiólogos y Terapeutas del Lenguaje,Profesional,51,31,0.02,0.01,-3.92,-0.01,3
98,Fisioterapeutas,Profesional,191,231,0.07,0.1,2.09,0.01,23
99,Terapeutas Ocupacionales,Profesional,9,29,0,0.01,22.22,0.01,2
100,Enfermeros,Profesional,662,613,0.23,0.27,-0.74,-0.02,61
101,Psicólogos,Profesional,884,746,0.3,0.33,-1.56,-0.05,74
102,Jueces,Profesional,1,1,0,0,0,0,0
103,Abogados,Profesional,1098,811,0.38,0.36,-2.61,-0.1,81
104,Profesores de Educación Superior,Profesional,723,424,0.25,0.19,-4.14,-0.1,42
105,Especialistas en Procesos Pedagógicos,Profesional,246,89,0.08,0.04,-6.38,-0.05,8
106,Profesores e Instructores de Formación para el Trabajo,Profesional,990,903,0.34,0.4,-0.88,-0.03,90
107,Profesores de Educación Básica Secundaria y Media,Profesional,740,1098,0.25,0.49,4.84,0.12,109
108,Profesores de Educación Básica Primaria,Profesional,688,536,0.24,0.24,-2.21,-0.05,53
109,Profesores de Preescolar,Profesional,454,301,0.16,0.13,-3.37,-0.05,30
110,Orientadores Educativos,Profesional,91,29,0.03,0.01,-6.81,-0.02,2
111,Pedagogo Reeducador,Profesional,774,161,0.26,0.07,-7.92,-0.21,16
112,Trabajadores Sociales y Consultores de Familia,Profesional,120,68,0.04,0.03,-4.33,-0.02,6
113,Ministros del Culto,Profesional,2,5,0,0,15,0,0
114,"Sociólogos, Antropólogos y Afines",Profesional,68,77,0.02,0.03,1.32,0,7
115,"Filósofos, Filólogos y Afines",Profesional,50,48,0.02,0.02,-0.4,0,4
116,"Consultores, Investigadores y Analistas de Política Económica",Profesional,244,185,0.08,0.08,-2.42,-0.02,18
117,Consultores y Funcionarios de Desarrollo Económico y Comercial,Profesional,163,161,0.06,0.07,-0.12,0,16
118,"Investigadores, Consultores y Funcionarios de Políticas Sociales de Salud y de Educación",Profesional,45,55,0.02,0.02,2.22,0,5
119,Funcionarios de Programas Exclusivos de la Administración Pública,Profesional,119,69,0.04,0.03,-4.2,-0.02,6
120,"Investigadores, Consultores y Funcionarios de Políticas de Ciencias Naturales y Aplicadas",Profesional,37,47,0.01,0.02,2.7,0,4
121,Profesionales en Gestión de Riesgo de Desastres,Profesional,,12,,0.01,10,,1
122,Profesionales en ciencias forenses,Profesional,4,1,0,0,-7.5,0,0
123,Bibliotecólogos,Profesional,37,27,0.01,0.01,-2.7,0,2
124,Restauradores,Profesional,7,6,0,0,-1.43,0,0
125,Curadores,Profesional,1,0,0,,-10,0,0
126,Escritores,Profesional,22,3,0.01,0,-8.64,-0.01,0
127,Editores y Redactores,Profesional,47,38,0.02,0.02,-1.91,0,3
128,Periodistas,Profesional,312,270,0.11,0.12,-1.35,-0.01,27
129,Traductores e Intérpretes,Profesional,14,13,0,0.01,-0.71,0,1
130,Ocupaciones Profesionales en Relaciones Públicas y Comunicaciones,Profesional,193,85,0.07,0.04,-5.6,-0.04,8
131,Publicistas,Profesional,,42,,0.02,10,,4
132,"Productores, Directores Artísticos, Coreógrafos y Ocupaciones Relacionadas",Profesional,42,23,0.01,0.01,-4.52,-0.01,2
133,Intérpretes Musicales,Profesional,200,65,0.07,0.03,-6.75,-0.05,6
134,Bailarines,Profesional,79,23,0.03,0.01,-7.09,-0.02,2
135,Actores,Profesional,106,31,0.04,0.01,-7.08,-0.03,3
136,"Pintores, Escultores y Otros Artistas Visuales",Profesional,42,51,0.01,0.02,2.14,0,5
137,Directores e Investigadores Musicales,Profesional,,11,,0,10,,1
138,Autores y Compositores Musicales,Profesional,,37,,0.02,10,,3
139,Diseñadores Gráficos,Profesional,1152,1164,0.39,0.52,0.1,0,116
140,Administradores de Explotación Acuícola y Jefes de Laboratorio de Cultivo o Producción Acuícola,Profesional,118,199,0.04,0.09,6.86,0.03,19
141,Directores de Planta de Procesamiento de Alimentos y Bebidas,Profesional,9,4,0,0,-5.56,0,0
142,Jefe de Laboratorio de Alimentos,Profesional,3,1,0,0,-6.67,0,0
143,Supervisores de Empleados de Apoyo Administrativo,Técnicos Profesionales - Tecnólogos,259,140,0.05,0.04,-4.59,-0.02,14
144,Jefes y supervisores de entidades financieras,Técnicos Profesionales - Tecnólogos,34,22,0.01,0.01,-3.53,0,2
145,"Supervisores y coordinadores de procesos de negocio, Empleados de información y servicio al cliente",Técnicos Profesionales - Tecnólogos,94,140,0.02,0.04,4.89,0.01,14
146,Supervisores de Empleados de Correo y Mensajería,Técnicos Profesionales - Tecnólogos,5,3,0,0,-4,0,0
147,"Supervisores de Almacenamiento, Inventario y  Distribución",Técnicos Profesionales - Tecnólogos,410,280,0.09,0.07,-3.17,-0.03,28
148,Asistentes Administrativos,Técnicos Profesionales - Tecnólogos,6982,5503,1.45,1.4,-2.12,-0.31,550
149,Administradores de Propiedad Horizontal,Técnicos Profesionales - Tecnólogos,103,42,0.02,0.01,-5.92,-0.01,4
150,Asistentes de Talento Humano,Técnicos Profesionales - Tecnólogos,773,853,0.16,0.22,1.03,0.02,85
151,Asistentes de compras,Técnicos Profesionales - Tecnólogos,1421,77,0.3,0.02,-9.46,-0.28,7
152,"Asistentes de Juzgados, Tribunales y Afines",Técnicos Profesionales - Tecnólogos,29,12,0.01,0,-5.86,0,1
153,"Funcionarios de Aduanas, Impuestos, Inmigración y Seguridad Social",Técnicos Profesionales - Tecnólogos,42,10,0.01,0,-7.62,-0.01,1
154,Asistentes de Comercio Exterior,Técnicos Profesionales - Tecnólogos,225,274,0.05,0.07,2.18,0.01,27
155,Técnicos en Archivística,Técnicos Profesionales - Tecnólogos,494,333,0.1,0.09,-3.26,-0.03,33
156,Asistentes Contables,Técnicos Profesionales - Tecnólogos,1854,1541,0.39,0.39,-1.69,-0.07,154
157,"Analistas, Asistentes y Asesores de Servicios Financieros",Técnicos Profesionales - Tecnólogos,204,561,0.04,0.14,17.5,0.07,56
158,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",Técnicos Profesionales - Tecnólogos,106,43,0.02,0.01,-5.94,-0.01,4
159,Agentes de Aduana,Técnicos Profesionales - Tecnólogos,181,408,0.04,0.1,12.54,0.05,40
160,Asistentes Financieros,Técnicos Profesionales - Tecnólogos,83,121,0.02,0.03,4.58,0.01,12
161,Asistentes Tesorería,Técnicos Profesionales - Tecnólogos,30,18,0.01,0,-4,0,1
162,"Asistentes de Mercadeo, Publicidad y Comunicaciones",Técnicos Profesionales - Tecnólogos,,624,,0.16,10,,62
163,Técnicos en Química Aplicada,Técnicos Profesionales - Tecnólogos,775,671,0.16,0.17,-1.34,-0.02,67
164,Técnicos en Geología y Minería,Técnicos Profesionales - Tecnólogos,65,29,0.01,0.01,-5.54,-0.01,2
165,Técnicos en Meteorología,Técnicos Profesionales - Tecnólogos,27,1,0.01,0,-9.63,-0.01,0
166,Técnicos en Metrología,Técnicos Profesionales - Tecnólogos,51,49,0.01,0.01,-0.39,0,4
167,Técnicos en Ciencias Biológicas,Técnicos Profesionales - Tecnólogos,76,58,0.02,0.01,-2.37,0,5
168,Técnicos en Recursos Naturales,Técnicos Profesionales - Tecnólogos,1022,1271,0.21,0.32,2.44,0.05,127
169,"Técnicos en Prevención, Gestión y Control Ambiental",Técnicos Profesionales - Tecnólogos,799,855,0.17,0.22,0.7,0.01,85
170,Técnicos en Construcción y Arquitectura,Técnicos Profesionales - Tecnólogos,1027,732,0.21,0.19,-2.87,-0.06,73
171,Técnicos en Mecánica y Construcción Mecánica,Técnicos Profesionales - Tecnólogos,560,354,0.12,0.09,-3.68,-0.04,35
172,Técnicos en Fabricación Industrial,Técnicos Profesionales - Tecnólogos,1297,1624,0.27,0.41,2.52,0.07,162
173,Técnicos en Electricidad,Técnicos Profesionales - Tecnólogos,403,190,0.08,0.05,-5.29,-0.04,19
174,Técnicos en Electrónica,Técnicos Profesionales - Tecnólogos,411,245,0.09,0.06,-4.04,-0.03,24
175,Técnicos en Automatización e Instrumentación,Técnicos Profesionales - Tecnólogos,105,140,0.02,0.04,3.33,0.01,14
176,Técnicos en Instrumentos de Aeronavegación,Técnicos Profesionales - Tecnólogos,5,3,0,0,-4,0,0
177,Técnicos en Telecomunicaciones,Técnicos Profesionales - Tecnólogos,163,73,0.03,0.02,-5.52,-0.02,7
178,Dibujantes Técnicos,Técnicos Profesionales - Tecnólogos,897,539,0.19,0.14,-3.99,-0.07,53
179,Topógrafos,Técnicos Profesionales - Tecnólogos,178,111,0.04,0.03,-3.76,-0.01,11
180,Técnicos en Cartografía,Técnicos Profesionales - Tecnólogos,23,12,0,0,-4.78,0,1
181,Inspectores de Pruebas No destructivas,Técnicos Profesionales - Tecnólogos,4,6,0,0,5,0,0
182,"Inspectores de Sanidad, Seguridad y Salud Ocupacional",Técnicos Profesionales - Tecnólogos,1133,659,0.24,0.17,-4.18,-0.1,65
183,Inspectores de Construcción,Técnicos Profesionales - Tecnólogos,94,42,0.02,0.01,-5.53,-0.01,4
184,Inspectores de Equipos de Transporte e Instrumentos de Medición,Técnicos Profesionales - Tecnólogos,29,3,0.01,0,-8.97,-0.01,0
185,"Inspectores de Productos Agrícola, Pecuarios y de Pesca",Técnicos Profesionales - Tecnólogos,28,85,0.01,0.02,20.36,0.01,8
186,Inspectores de Riego Agrícola,Técnicos Profesionales - Tecnólogos,12,3,0,0,-7.5,0,0
187,Coordinadores de Sistemas Integrados de Gestión,Técnicos Profesionales - Tecnólogos,,412,,0.11,10,,41
